# Filter ZPT
JOHNSON_B 20.522241
JOHNSON_V 21.103851
COUSINS_R 21.671008
COUSINS_I 22.392122
SDSS_U 21.032514
SDSS_G 20.660448
SDSS_R 21.500454
SDSS_I 22.14454
SDSS_Z 22.728246
ACS_F475W 20.683096
ACS_F550M 21.165537
ACS_F555W 21.043403
ACS_F606W 21.322029
ACS_F625W 21.563064
ACS_F775W 22.24041
ACS_F814W 22.382621
WFPC2_F555W 21.060408
WFPC2_F675W 21.787462
WFPC2_F814W 22.345397
WFC3_F502N 20.82517
WFC3_F555W 20.982182
WFC3_F606W 21.317852
WFC3_F625W 21.528332
WFC3_F656N 22.148018
WFC3_F775W 22.253151
WFC3_F814W 22.458653
KRON_V -99.0
